Date Time;Expansion valve;Date Time;Current consumption C1
8/1/2018, 2:00:00 AM;268;8/1/2018, 2:00:00 AM;6
8/3/2018, 2:00:00 AM;277;8/3/2018, 2:00:00 AM;6
8/5/2018, 2:00:00 AM;272;8/5/2018, 2:00:00 AM;6
8/7/2018, 2:00:00 AM;278;8/7/2018, 2:00:00 AM;6
8/9/2018, 2:00:00 AM;265;8/9/2018, 2:00:00 AM;6
8/11/2018, 2:00:00 AM;306;8/11/2018, 2:00:00 AM;5.2
8/11/2018, 4:00:00 AM;200;8/11/2018, 4:00:00 AM;6.4
8/12/2018, 2:00:00 AM;445;8/12/2018, 2:00:00 AM;4.1
8/12/2018, 4:00:00 AM;320;8/12/2018, 4:00:00 AM;5.5
8/14/2018, 2:00:00 AM;432;8/14/2018, 2:00:00 AM;4.2
8/14/2018, 4:00:00 AM;291;8/14/2018, 4:00:00 AM;5.7
8/15/2018, 2:00:00 AM;282;8/15/2018, 2:00:00 AM;5.7
8/16/2018, 2:00:00 AM;327;8/16/2018, 2:00:00 AM;5.2
8/16/2018, 4:00:00 AM;199;8/16/2018, 4:00:00 AM;6.4
8/17/2018, 2:00:00 AM;348;8/17/2018, 2:00:00 AM;5
8/17/2018, 4:00:00 AM;212;8/17/2018, 4:00:00 AM;6.2
8/18/2018, 2:00:00 AM;368;8/18/2018, 2:00:00 AM;4.7
8/18/2018, 4:00:00 AM;226;8/18/2018, 4:00:00 AM;6
8/19/2018, 2:00:00 AM;351;8/19/2018, 2:00:00 AM;4.8
8/19/2018, 4:00:00 AM;215;8/19/2018, 4:00:00 AM;6.1
8/20/2018, 2:00:00 AM;396;8/20/2018, 2:00:00 AM;4.6
8/20/2018, 4:00:00 AM;245;8/20/2018, 4:00:00 AM;6
8/21/2018, 2:00:00 AM;411;8/21/2018, 2:00:00 AM;4.2
8/21/2018, 4:00:00 AM;282;8/21/2018, 4:00:00 AM;5.7
8/22/2018, 2:00:00 AM;317;8/22/2018, 2:00:00 AM;5.3
8/22/2018, 4:00:00 AM;196;8/22/2018, 4:00:00 AM;6.4
8/22/2018, 6:00:00 PM;404;8/22/2018, 6:00:00 PM;4.3
8/22/2018, 8:00:00 PM;328;8/22/2018, 8:00:00 PM;5.5
8/24/2018, 2:00:00 AM;438;8/24/2018, 2:00:00 AM;4.2
8/24/2018, 4:00:00 AM;298;8/24/2018, 4:00:00 AM;5.6
8/25/2018, 2:00:00 AM;397;8/25/2018, 2:00:00 AM;4.5
8/25/2018, 4:00:00 AM;255;8/25/2018, 4:00:00 AM;5.8
8/26/2018, 2:00:00 AM;346;8/26/2018, 2:00:00 AM;4.9
8/26/2018, 4:00:00 AM;207;8/26/2018, 4:00:00 AM;6.2
8/27/2018, 2:00:00 AM;392;8/27/2018, 2:00:00 AM;4.5
8/27/2018, 4:01:00 AM;243;8/27/2018, 4:01:00 AM;5.9
8/28/2018, 2:00:00 AM;373;8/28/2018, 2:00:00 AM;4.7
8/28/2018, 4:00:00 AM;225;8/28/2018, 4:00:00 AM;6
8/29/2018, 2:00:00 AM;270;8/29/2018, 2:00:00 AM;5.8
8/30/2018, 1:59:00 AM;434;8/30/2018, 1:59:00 AM;4.1
8/30/2018, 4:00:00 AM;298;8/30/2018, 4:00:00 AM;5.6
8/31/2018, 2:00:00 AM;425;8/31/2018, 2:00:00 AM;4.2
8/31/2018, 4:00:00 AM;279;8/31/2018, 4:00:00 AM;5.7
9/1/2018, 2:00:00 AM;380;9/1/2018, 2:00:00 AM;4.5
9/1/2018, 4:00:00 AM;232;9/1/2018, 4:00:00 AM;5.9
9/2/2018, 2:00:00 AM;380;9/2/2018, 2:00:00 AM;4.5
9/2/2018, 4:00:00 AM;234;9/2/2018, 4:00:00 AM;5.9
9/3/2018, 2:00:00 AM;422;9/3/2018, 2:00:00 AM;4.2
