Date Time;Time inactive;Date Time;Time cooling;Date Time;Time heating;Date Time;Time hot water
8/1/2018, 12:00:00 PM;0;8/1/2018, 12:00:00 PM;23.46;8/1/2018, 12:00:00 PM;0;8/1/2018, 12:00:00 PM;0.52
8/2/2018, 12:00:00 PM;0;8/2/2018, 12:00:00 PM;24;8/2/2018, 12:00:00 PM;0;8/2/2018, 12:00:00 PM;0
8/3/2018, 12:00:00 PM;0;8/3/2018, 12:00:00 PM;23.46;8/3/2018, 12:00:00 PM;0;8/3/2018, 12:00:00 PM;0.52
8/4/2018, 12:00:00 PM;0;8/4/2018, 12:00:00 PM;24;8/4/2018, 12:00:00 PM;0;8/4/2018, 12:00:00 PM;0
8/5/2018, 12:00:00 PM;0;8/5/2018, 12:00:00 PM;23.46;8/5/2018, 12:00:00 PM;0;8/5/2018, 12:00:00 PM;0.52
8/6/2018, 12:00:00 PM;0;8/6/2018, 12:00:00 PM;24;8/6/2018, 12:00:00 PM;0;8/6/2018, 12:00:00 PM;0
8/7/2018, 12:00:00 PM;0;8/7/2018, 12:00:00 PM;23.46;8/7/2018, 12:00:00 PM;0;8/7/2018, 12:00:00 PM;0.52
8/8/2018, 12:00:00 PM;0;8/8/2018, 12:00:00 PM;24;8/8/2018, 12:00:00 PM;0;8/8/2018, 12:00:00 PM;0
8/9/2018, 12:00:00 PM;0;8/9/2018, 12:00:00 PM;23.46;8/9/2018, 12:00:00 PM;0;8/9/2018, 12:00:00 PM;0.52
8/10/2018, 12:00:00 PM;0;8/10/2018, 12:00:00 PM;24;8/10/2018, 12:00:00 PM;0;8/10/2018, 12:00:00 PM;0
8/11/2018, 12:00:00 PM;0;8/11/2018, 12:00:00 PM;22.84;8/11/2018, 12:00:00 PM;0;8/11/2018, 12:00:00 PM;1.12
8/12/2018, 12:00:00 PM;0;8/12/2018, 12:00:00 PM;1.86;8/12/2018, 12:00:00 PM;0;8/12/2018, 12:00:00 PM;2.1
