Date Time;Compressor;Date Time;E-heater
8/1/2018, 12:00:00 PM;1;8/1/2018, 12:00:00 PM;0
8/2/2018, 12:00:00 PM;0;8/2/2018, 12:00:00 PM;0
8/3/2018, 12:00:00 PM;1;8/3/2018, 12:00:00 PM;0
8/4/2018, 12:00:00 PM;0;8/4/2018, 12:00:00 PM;0
8/5/2018, 12:00:00 PM;1;8/5/2018, 12:00:00 PM;0
8/6/2018, 12:00:00 PM;0;8/6/2018, 12:00:00 PM;0
8/7/2018, 12:00:00 PM;1;8/7/2018, 12:00:00 PM;0
8/8/2018, 12:00:00 PM;0;8/8/2018, 12:00:00 PM;0
8/9/2018, 12:00:00 PM;1;8/9/2018, 12:00:00 PM;0
8/10/2018, 12:00:00 PM;0;8/10/2018, 12:00:00 PM;0
8/11/2018, 12:00:00 PM;4;8/11/2018, 12:00:00 PM;0
8/12/2018, 12:00:00 PM;50;8/12/2018, 12:00:00 PM;0
8/13/2018, 12:00:00 PM;0;8/13/2018, 12:00:00 PM;0
8/14/2018, 12:00:00 PM;7;8/14/2018, 12:00:00 PM;0
8/15/2018, 12:00:00 PM;3;8/15/2018, 12:00:00 PM;0
8/16/2018, 12:00:00 PM;4;8/16/2018, 12:00:00 PM;0
8/17/2018, 12:00:00 PM;4;8/17/2018, 12:00:00 PM;0
8/18/2018, 12:00:00 PM;5;8/18/2018, 12:00:00 PM;0
8/19/2018, 12:00:00 PM;5;8/19/2018, 12:00:00 PM;0
8/20/2018, 12:00:00 PM;6;8/20/2018, 12:00:00 PM;0
8/21/2018, 12:00:00 PM;7;8/21/2018, 12:00:00 PM;0
8/22/2018, 12:00:00 PM;11;8/22/2018, 12:00:00 PM;0
8/23/2018, 12:00:00 PM;0;8/23/2018, 12:00:00 PM;0
8/24/2018, 12:00:00 PM;7;8/24/2018, 12:00:00 PM;0
8/25/2018, 12:00:00 PM;6;8/25/2018, 12:00:00 PM;0
8/26/2018, 12:00:00 PM;5;8/26/2018, 12:00:00 PM;0
8/27/2018, 12:00:00 PM;6;8/27/2018, 12:00:00 PM;0
8/28/2018, 12:00:00 PM;5;8/28/2018, 12:00:00 PM;0
8/29/2018, 12:00:00 PM;6;8/29/2018, 12:00:00 PM;0
8/30/2018, 12:00:00 PM;5;8/30/2018, 12:00:00 PM;0
8/31/2018, 12:00:00 PM;7;8/31/2018, 12:00:00 PM;0
9/1/2018, 12:00:00 PM;6;9/1/2018, 12:00:00 PM;0
9/2/2018, 12:00:00 PM;6;9/2/2018, 12:00:00 PM;0
9/3/2018, 12:00:00 PM;7;9/3/2018, 12:00:00 PM;0
9/4/2018, 12:00:00 PM;3;9/4/2018, 12:00:00 PM;0
9/5/2018, 12:00:00 PM;7;9/5/2018, 12:00:00 PM;0
9/6/2018, 12:00:00 PM;10;9/6/2018, 12:00:00 PM;0
9/7/2018, 12:00:00 PM;2;9/7/2018, 12:00:00 PM;0
9/8/2018, 12:00:00 PM;15;9/8/2018, 12:00:00 PM;0
9/9/2018, 12:00:00 PM;0;9/9/2018, 12:00:00 PM;0
9/10/2018, 12:00:00 PM;8;9/10/2018, 12:00:00 PM;0
9/11/2018, 12:00:00 PM;8;9/11/2018, 12:00:00 PM;0
9/12/2018, 12:00:00 PM;3;9/12/2018, 12:00:00 PM;0
9/13/2018, 12:00:00 PM;14;9/13/2018, 12:00:00 PM;0
9/14/2018, 12:00:00 PM;6;9/14/2018, 12:00:00 PM;0
9/15/2018, 12:00:00 PM;9;9/15/2018, 12:00:00 PM;0
9/16/2018, 12:00:00 PM;8;9/16/2018, 12:00:00 PM;0
9/17/2018, 12:00:00 PM;5;9/17/2018, 12:00:00 PM;0
9/18/2018, 12:00:00 PM;6;9/18/2018, 12:00:00 PM;0
9/19/2018, 12:00:00 PM;5;9/19/2018, 12:00:00 PM;0
9/20/2018, 12:00:00 PM;7;9/20/2018, 12:00:00 PM;0
9/21/2018, 12:00:00 PM;5;9/21/2018, 12:00:00 PM;0
9/22/2018, 12:00:00 PM;7;9/22/2018, 12:00:00 PM;0
9/23/2018, 12:00:00 PM;19;9/23/2018, 12:00:00 PM;0
9/24/2018, 12:00:00 PM;8;9/24/2018, 12:00:00 PM;0
9/25/2018, 12:00:00 PM;9;9/25/2018, 12:00:00 PM;0
9/26/2018, 12:00:00 PM;24;9/26/2018, 12:00:00 PM;0
9/27/2018, 12:00:00 PM;0;9/27/2018, 12:00:00 PM;0
9/28/2018, 12:00:00 PM;4;9/28/2018, 12:00:00 PM;0
9/29/2018, 12:00:00 PM;8;9/29/2018, 12:00:00 PM;0
9/30/2018, 12:00:00 PM;15;9/30/2018, 12:00:00 PM;0
10/1/2018, 12:00:00 PM;4;10/1/2018, 12:00:00 PM;0
10/2/2018, 12:00:00 PM;16;10/2/2018, 12:00:00 PM;0
10/3/2018, 12:00:00 PM;14;10/3/2018, 12:00:00 PM;0
10/4/2018, 12:00:00 PM;9;10/4/2018, 12:00:00 PM;0
10/5/2018, 12:00:00 PM;0;10/5/2018, 12:00:00 PM;0
10/6/2018, 12:00:00 PM;5;10/6/2018, 12:00:00 PM;0
10/7/2018, 12:00:00 PM;5;10/7/2018, 12:00:00 PM;0
10/8/2018, 12:00:00 PM;7;10/8/2018, 12:00:00 PM;0
10/9/2018, 12:00:00 PM;7;10/9/2018, 12:00:00 PM;0
10/10/2018, 12:00:00 PM;5;10/10/2018, 12:00:00 PM;0
10/11/2018, 12:00:00 PM;10;10/11/2018, 12:00:00 PM;0
10/12/2018, 12:00:00 PM;5;10/12/2018, 12:00:00 PM;0
10/13/2018, 12:00:00 PM;11;10/13/2018, 12:00:00 PM;0
10/14/2018, 12:00:00 PM;0;10/14/2018, 12:00:00 PM;0
10/15/2018, 12:00:00 PM;7;10/15/2018, 12:00:00 PM;0
10/16/2018, 12:00:00 PM;4;10/16/2018, 12:00:00 PM;0
10/17/2018, 12:00:00 PM;6;10/17/2018, 12:00:00 PM;0
10/18/2018, 12:00:00 PM;19;10/18/2018, 12:00:00 PM;0
10/19/2018, 12:00:00 PM;9;10/19/2018, 12:00:00 PM;0
10/20/2018, 12:00:00 PM;0;10/20/2018, 12:00:00 PM;0
10/21/2018, 12:00:00 PM;9;10/21/2018, 12:00:00 PM;0
10/22/2018, 12:00:00 PM;3;10/22/2018, 12:00:00 PM;0
10/23/2018, 12:00:00 PM;3;10/23/2018, 12:00:00 PM;0
10/24/2018, 12:00:00 PM;8;10/24/2018, 12:00:00 PM;0
10/25/2018, 12:00:00 PM;8;10/25/2018, 12:00:00 PM;0
10/26/2018, 12:00:00 PM;25;10/26/2018, 12:00:00 PM;0
10/27/2018, 12:00:00 PM;20;10/27/2018, 12:00:00 PM;0
10/28/2018, 12:00:00 PM;16;10/28/2018, 12:00:00 PM;0
10/29/2018, 12:00:00 PM;29;10/29/2018, 12:00:00 PM;0
10/30/2018, 12:00:00 PM;32;10/30/2018, 12:00:00 PM;0
10/31/2018, 12:00:00 PM;22;10/31/2018, 12:00:00 PM;0
11/1/2018, 12:00:00 PM;6;11/1/2018, 12:00:00 PM;0
11/2/2018, 12:00:00 PM;18;11/2/2018, 12:00:00 PM;0
11/3/2018, 12:00:00 PM;21;11/3/2018, 12:00:00 PM;0
11/4/2018, 12:00:00 PM;51;11/4/2018, 12:00:00 PM;0
11/5/2018, 12:00:00 PM;6;11/5/2018, 12:00:00 PM;0
11/6/2018, 12:00:00 PM;23;11/6/2018, 12:00:00 PM;0
11/7/2018, 12:00:00 PM;6;11/7/2018, 12:00:00 PM;0
11/8/2018, 12:00:00 PM;12;11/8/2018, 12:00:00 PM;0
11/9/2018, 12:00:00 PM;14;11/9/2018, 12:00:00 PM;0
11/10/2018, 12:00:00 PM;8;11/10/2018, 12:00:00 PM;0
11/11/2018, 12:00:00 PM;17;11/11/2018, 12:00:00 PM;0
11/12/2018, 12:00:00 PM;14;11/12/2018, 12:00:00 PM;0
11/13/2018, 12:00:00 PM;13;11/13/2018, 12:00:00 PM;0
11/14/2018, 12:00:00 PM;17;11/14/2018, 12:00:00 PM;0
11/15/2018, 12:00:00 PM;28;11/15/2018, 12:00:00 PM;0
11/16/2018, 12:00:00 PM;20;11/16/2018, 12:00:00 PM;0
11/17/2018, 12:00:00 PM;21;11/17/2018, 12:00:00 PM;0
11/18/2018, 12:00:00 PM;38;11/18/2018, 12:00:00 PM;0
11/19/2018, 12:00:00 PM;28;11/19/2018, 12:00:00 PM;0
11/20/2018, 12:00:00 PM;34;11/20/2018, 12:00:00 PM;0
11/21/2018, 12:00:00 PM;42;11/21/2018, 12:00:00 PM;0
11/22/2018, 12:00:00 PM;46;11/22/2018, 12:00:00 PM;0
11/23/2018, 12:00:00 PM;34;11/23/2018, 12:00:00 PM;0
11/24/2018, 12:00:00 PM;46;11/24/2018, 12:00:00 PM;0
11/25/2018, 12:00:00 PM;33;11/25/2018, 12:00:00 PM;0
11/26/2018, 12:00:00 PM;27;11/26/2018, 12:00:00 PM;0
