Date Time;T compressed gas C1;Date Time;TcC1 CH (out);Date Time;TcC1 DHW (out);Date Time;TeC1 CH (in);Date Time;TeC1 DHW (in);Date Time;TcC1 (out);Date Time;TeC1 (in)
8/1/2018, 2:00:00 AM;68.6;9/23/2018, 8:00:00 PM;24.8;8/1/2018, 2:00:00 AM;55.3;9/23/2018, 8:00:00 PM;4.9;8/1/2018, 2:00:00 AM;8.3;;;;
8/3/2018, 2:00:00 AM;68.8;9/23/2018, 10:00:00 PM;27.8;8/3/2018, 2:00:00 AM;55.4;9/23/2018, 10:00:00 PM;4.4;8/3/2018, 2:00:00 AM;8.4;;;;
8/5/2018, 2:00:00 AM;68.7;9/24/2018, 2:00:00 AM;24.8;8/5/2018, 2:00:00 AM;55.4;9/24/2018, 2:00:00 AM;5.6;8/5/2018, 2:00:00 AM;8.5;;;;
8/7/2018, 2:00:00 AM;68.6;9/24/2018, 4:00:00 AM;28.4;8/7/2018, 2:00:00 AM;55.4;9/24/2018, 4:00:00 AM;4.6;8/7/2018, 2:00:00 AM;8.4;;;;
8/9/2018, 2:00:00 AM;68.8;9/24/2018, 6:00:00 AM;19.8;8/9/2018, 2:00:00 AM;55.2;9/24/2018, 6:00:00 AM;11.1;8/9/2018, 2:00:00 AM;8.2;;;;
8/11/2018, 2:00:00 AM;63.8;9/24/2018, 8:00:00 AM;28.9;8/11/2018, 2:00:00 AM;49.3;9/24/2018, 8:00:00 AM;5.2;8/11/2018, 2:00:00 AM;7.1;;;;
8/11/2018, 4:00:00 AM;83.8;9/29/2018, 6:00:00 AM;27;8/11/2018, 4:00:00 AM;59.4;9/29/2018, 6:00:00 AM;5;8/11/2018, 4:00:00 AM;7.3;;;;
8/12/2018, 2:00:00 AM;49.1;9/29/2018, 4:00:00 PM;26.9;8/12/2018, 2:00:00 AM;36.2;9/29/2018, 4:00:00 PM;5.3;8/12/2018, 2:00:00 AM;5.9;;;;
8/12/2018, 4:00:00 AM;72.9;9/29/2018, 6:00:00 PM;28.4;8/12/2018, 4:00:00 AM;52.9;9/29/2018, 6:00:00 PM;4.9;8/12/2018, 4:00:00 AM;6.7;;;;
8/14/2018, 2:00:00 AM;50.8;9/30/2018, 4:00:00 AM;26.1;8/14/2018, 2:00:00 AM;37.8;9/30/2018, 4:00:00 AM;4.4;8/14/2018, 2:00:00 AM;6.2;;;;
8/14/2018, 4:00:00 AM;74.4;9/30/2018, 6:00:00 AM;28.1;8/14/2018, 4:00:00 AM;54;9/30/2018, 6:00:00 AM;3.8;8/14/2018, 4:00:00 AM;6.9;;;;
8/15/2018, 2:00:00 AM;68.2;9/30/2018, 8:00:00 AM;27.7;8/15/2018, 2:00:00 AM;53;9/30/2018, 8:00:00 AM;4.7;8/15/2018, 2:00:00 AM;7.7;;;;
8/16/2018, 2:00:00 AM;63.8;10/2/2018, 6:00:00 AM;27.2;8/16/2018, 2:00:00 AM;49.2;10/2/2018, 6:00:00 AM;5;8/16/2018, 2:00:00 AM;7.3;;;;
8/16/2018, 4:00:00 AM;83.1;10/2/2018, 10:00:00 AM;28.9;8/16/2018, 4:00:00 AM;59.8;10/2/2018, 10:00:00 AM;4.9;8/16/2018, 4:00:00 AM;7.6;;;;
8/17/2018, 2:00:00 AM;60.8;10/2/2018, 12:00:00 PM;28.1;8/17/2018, 2:00:00 AM;46.9;10/2/2018, 12:00:00 PM;5.4;8/17/2018, 2:00:00 AM;7;;;;
8/17/2018, 4:00:00 AM;81.6;10/2/2018, 2:00:00 PM;29.1;8/17/2018, 4:00:00 AM;58.8;10/2/2018, 2:00:00 PM;4.6;8/17/2018, 4:00:00 AM;7.4;;;;
8/18/2018, 2:00:00 AM;57;10/2/2018, 4:00:00 PM;30;8/18/2018, 2:00:00 AM;43.6;10/2/2018, 4:00:00 PM;4.3;8/18/2018, 2:00:00 AM;6.7;;;;
8/18/2018, 4:00:00 AM;79.4;10/3/2018, 10:00:00 AM;27;8/18/2018, 4:00:00 AM;57.3;10/3/2018, 10:00:00 AM;5.1;8/18/2018, 4:00:00 AM;7.1;;;;
8/19/2018, 2:00:00 AM;59.4;10/21/2018, 8:00:00 AM;27.2;8/19/2018, 2:00:00 AM;45.6;10/21/2018, 8:00:00 AM;5.1;8/19/2018, 2:00:00 AM;6.8;;;;
8/19/2018, 4:00:00 AM;80.9;10/25/2018, 8:00:00 AM;25.3;8/19/2018, 4:00:00 AM;58.2;10/25/2018, 8:00:00 AM;5.7;8/19/2018, 4:00:00 AM;7.1;;;;
8/20/2018, 2:00:00 AM;55.2;10/25/2018, 10:00:00 AM;28.4;8/20/2018, 2:00:00 AM;42;10/25/2018, 10:00:00 AM;4.9;8/20/2018, 2:00:00 AM;6.4;;;;
8/20/2018, 4:00:00 AM;78.3;10/26/2018, 6:00:00 AM;26.9;8/20/2018, 4:00:00 AM;56.6;10/26/2018, 6:00:00 AM;5.3;8/20/2018, 4:00:00 AM;7;;;;
8/21/2018, 2:00:00 AM;51;10/26/2018, 8:00:00 AM;28.8;8/21/2018, 2:00:00 AM;37.9;10/26/2018, 8:00:00 AM;4.7;8/21/2018, 2:00:00 AM;6.1;;;;
8/21/2018, 4:00:00 AM;74.7;10/27/2018, 4:00:00 PM;27.4;8/21/2018, 4:00:00 AM;54.2;10/27/2018, 4:00:00 PM;4.7;8/21/2018, 4:00:00 AM;6.8;;;;
8/22/2018, 2:00:00 AM;65.3;10/27/2018, 11:00:00 PM;27;8/22/2018, 2:00:00 AM;50.5;10/27/2018, 11:00:00 PM;4.7;8/22/2018, 2:00:00 AM;7.6;;;;
8/22/2018, 4:00:00 AM;83.8;10/28/2018, 2:00:00 AM;27.3;8/22/2018, 4:00:00 AM;60.4;10/28/2018, 2:00:00 AM;4;8/22/2018, 4:00:00 AM;7.7;;;;
8/22/2018, 6:00:00 PM;46.8;10/28/2018, 4:00:00 AM;24;8/22/2018, 6:00:00 PM;34.7;10/28/2018, 4:00:00 AM;5.1;8/22/2018, 6:00:00 PM;6.3;;;;
8/22/2018, 8:00:00 PM;71.4;10/28/2018, 6:00:00 AM;28.9;8/22/2018, 8:00:00 PM;52;10/28/2018, 6:00:00 AM;4.6;8/22/2018, 8:00:00 PM;7;;;;
8/24/2018, 2:00:00 AM;50.1;10/28/2018, 12:00:00 PM;27.2;8/24/2018, 2:00:00 AM;37.4;10/28/2018, 12:00:00 PM;4.8;8/24/2018, 2:00:00 AM;6.1;;;;
8/24/2018, 4:00:00 AM;74.1;10/28/2018, 10:00:00 PM;26.6;8/24/2018, 4:00:00 AM;53.8;10/28/2018, 10:00:00 PM;4.5;8/24/2018, 4:00:00 AM;6.9;;;;
8/25/2018, 2:00:00 AM;54.2;10/29/2018, 12:00:00 AM;24;8/25/2018, 2:00:00 AM;40.9;10/29/2018, 12:00:00 AM;4.9;8/25/2018, 2:00:00 AM;6.2;;;;
